급식정보
    9.17.일 석식    사골떡만두국(1.5.6.10.16) 숙주미나리무침 제육야채볶음 포기김치 샤인머스캣쥬스 친환경 귀리밥 망고샐러드 고깃속깻잎튀김(5.10)   
"    9.18.월 조식    모듬빵종,잼(1.2.5.6) 건파래볶음(5.13) 갈치구이(5.6.13) 너비아니구이(1.5.6.10.15) 코코볼,아몬드후레이크(2.5.6) 구운고구마 오렌지쥬스,우유(2.13) 야채죽,누룽지 돼지국밥 사과,바나나   "
    9.18.월 중식    쌀밥 비빔소면(5.6.13) 누룽지닭죽 무말랭이무침(5.6.13) 밤떡갈비(5.6.10.13.16) 포기김치(9.13) 매실주스 식빵러스크(2.5.6)   
"    9.18.월 석식    쌀밥 양송이크림스프(2.5.6.13) 칠리치즈미트볼(1.5.6.10.12) 눈꽃치즈돈까스,스테이크소스(1.2.5.6.10.12) 포기김치(9.13) 복숭아아이스티(11.13) 오이피클 달콤햄치즈샌드(1.2.5.6) 만다린샐러드   "
"    9.19.화 조식    모듬빵종,잼(1.2.5.6) 연근무화과조림(5.6.13) 베이컨김치볶음(9.10) 포도쥬스,우유 오레오오즈,그래놀라다이제(5.6) 찐옥수수 북어계란국 망고요거트,누룽지 리치,황도 우리쌀제육강정(1.5.6.10)   "
"    9.19.화 중식    기장밥,쌀밥 콩나물무침 동그랑땡전(1.5.6.10) 포기김치(9.13) 식혜 열대과일샐러드(5.6) 아욱국(5.6) 쭈돈볶음(5.6.10)   "
"    9.19.화 석식    보리밥,쌀밥 핫도그,케찹(1.2.5.6.10.12.13.15.16) 포기김치(9.13) 자몽쥬스 샤인머스캣 알감자조림(5.6.13) 뚝배기닭볶음탕,우동사리(5.6.13.15) 열무나물   "
"    9.20.수 조식    단호박죽,누룽지 모듬빵종,잼(1.2.5.6) 삶은계란 카레소스(5.6.10.13) 해쉬브라운(5.6.12) 초코첵스,콘앤스위트(5.6) 감귤쥬스,우유 모듬소시지(1.2.5.6.10.15) 오렌지,파인애플청크 두부김치국(1.5.6.9)   "
"    9.20.수 중식    흑향미밥,쌀밥 순두부찌개(5.9.13.18) 김치전(1.5.6.9) 깍두기 멜론 요거상큼복숭아(11.13) 훈제오리 부추겨자냉채   "
    9.20.수 석식    계란파국 오이도라지무침(5.6.13) 포기김치(9.13) 블루베리쥬스 스팸야채볶음밥(5.6.10.13) 후르츠샐러드 레몬크림새우(1.5.6.9.13) 콩도너츠(1.2.5.6)   
"    9.21.목 조식    모듬빵종,잼(1.2.5.6) 연두부,양념장 계란후라이 멸치고추장볶음 청양풍닭볶음(5.6.15) 사과쥬스,우유 경상도식소고기무국(5.6.16) 블루베리요거트,누룽지 황도,바나나 코코볼,시나몬토스트크런치(2.5.6)   "
    9.21.목 중식    된장찌개(5.6) 해물떡찜(5.9.13.17) 슬라이스햄전(1.5.6.10.15) 포기김치(9.13) 생크림카스테라모닝빵(1.6.13) 샤인머스캣쥬스 아삭이고추무침 산채비빔밥(5.6.10)   
    9.21.목 석식    쌀밥 유니짜장(1.5.6.10) 볼도넛(1.2.5.6) 짬뽕국(1.10.17) 포기김치(9.13) 레몬에이드 목화솜탕수육(1.5.6.10.13) 리코타치즈샐러드 단무지   
"    9.22.금 조식    단팥죽,누룽지 모듬빵종,잼(1.2.5.6) 미역국 참치김치볶음 사과,망고 오레오오즈,그래놀라다이제(5.6) 찐옥수수 파인애플쥬스,우유,아몬드브리즈(2.13) 대패삼겹숙주볶음 깻잎찜   "
"    9.22.금 중식    보리밥,쌀밥 손만두국(1.5.6.10.16) 제육야채볶음(5.6.10) 포도 자두에이드 떡볶이(1.5.6.12.13) 청경채나물   "
    9.22.금 석식    얼큰콩나물국 비엔나야채볶음(2.5.6.10.15) 포기김치(9.13) 포테이토피자(1.2.5.6.8.10.12.15) 망고쥬스 요거트과일샐러드(5.6) 규동(5.6.13.16) 상추겉절이   
"    9.23.토 조식    고추잡채(5.6.10.13) 모듬빵종,잼(1.2.5.6) 근대국(5.6) 미역줄기볶음 양상추샐러드(1.5) 포도쥬스,우유 초코첵스,콘앤스위트(5.6) 플레인요거트,누룽지 콘스크램블에그 오렌지,파인애플청크   "
    9.23.토 중식    쌀밥 새우볼꼬치(1.5.6.9) 포기김치(9.13) 파워에이드 고구마맛탕(5.13) 우동(1.5.6.13) 블루베리샐러드 락교   
"    9.23.토 석식    차조밥,쌀밥 제육김치찌개(5.9.10) 견과류샐러드 청포묵김가루무침 숯불오징어볶음(5.6.17) 깍두기 석류쥬스 큐브직화구이(1.2.5.6.10.15)   "
"    9.24.일 조식 TODAY   모듬빵종,잼(1.2.5.6) 호박고추장찌개(5.6.13) 미니고기완자조림(1.2.5.6.10.13.15.16.18) 무말랭이무침(5.6.13) 흑임자깨죽,누룽지 버터감자 삼치구이(5.6.13) 감귤쥬스,우유 사과,토마토 후르트링,초코크런치(2.5.6)   "
    9.24.일 중식 TODAY   맑은우동국물(1.5.6) 오복채무침 포기김치(9.13) 오이토마토샐러드 오미자쥬스 닭갈비볶음밥(5.6.15) 피쉬앤칩스(1.5.6.13) 콘치즈(1.2.5.13)   
"    9.24.일 석식 TODAY   현미밥,쌀밥 순대국(2.5.6.10.13) 청양풍돼지고기조림(5.6.10.13) 부추겉절이 어묵채볶음(1.5.6) 깍두기 나쵸(1.2.5.6.13) 이프로(11.13)   "
"    9.25.월 조식    모듬빵종,잼(1.2.5.6) 열무된장국(5.6) 오믈렛(1.2.5.6) 청포묵김가루무침 코코볼,아몬드후레이크(2.5.6) 오렌지쥬스,우유(2.13) 단호박찜 플레인요거트,누룽지 굴소스해물볶음(5.6.13.17) 사과,바나나   "
    9.25.월 중식    쌀밥 모듬만두찜(1.5.6.10) 깍두기 복분자쥬스 맛밤고구마스틱(5.13) 만다린샐러드 고기국수(5.6.10) 양파간장피클(5.6)   
"    9.25.월 석식    참치두부조림 치커리유자청무침 콘튀김,스리라차소스(1.2.5.6.13) 포기김치(9.13) 게토레이 어니언크림치즈빵(1.6.13) 콩나물국 오야꼬동(1.5.6.15)   "
"    9.26.화 조식    모듬빵종,잼(1.2.5.6) 들깨미역국 진미채볶음(5.6.17) 흑임자깨죽,누룽지 포도쥬스,우유 오레오오즈,그래놀라다이제(5.6) 그릴후랑크(2.5.6.10) 베이컨브로콜리볶음 리치,황도   "
"    9.26.화 중식    흑향미밥,쌀밥 부대찌개(1.2.5.6.9.10.15) 브로콜리,다시마,초장(5.6) 모짜렐라샐러드(1.5.6.13) 제육부추볶음(5.6.10) 노란호박전(1.5.6) 깍두기 요거상큼복숭아(11.13)   "
    9.26.화 석식    쌀밥 크림스프(2.5.6.13) 까망베르케이크(1.2.5.6) 새우또띠아말이(1.2.5.6.9) 포기김치(9.13) 포도 모듬피클 알로에쥬스 불고기파스타(1.5.6.16)   
"    9.27.수 조식    모듬빵종,잼(1.2.5.6) 계란후라이 불닭맛김(5.6) 찰떡갈비(4.5.6.10.13) 팝만두튀김(1.5.6.10) 초코첵스,콘앤스위트(5.6) 어묵국(1.5.6) 감귤쥬스,우유 망고요거트,누룽지 오렌지,파인애플청크   "
"    9.27.수 중식    미소시루(5.6) 지파이치킨까스,양념치킨소스(1.5.6.12.13.15) 포기김치(9.13) 송편 타코야끼(5.6.13) 야채볶음밥(1.2.5.6.10.13.15) 매실주스 상추부추겉절이   "
